sequence_length,max_span,elapsed_time(ms)
23,23,19
26,26,19
30,30,84
33,33,66
35,35,179
37,37,122
41,41,447
42,42,275
43,43,408
44,44,620
45,45,405
45,45,509
45,45,552
46,46,629
51,50,1262
51,51,1263
52,50,827
52,50,937
52,50,1977
52,52,828
52,52,928
52,52,1977
53,50,970
53,53,960
54,50,739
54,50,1357
54,54,762
54,54,1597
55,50,491
55,50,1046
55,50,1809
55,55,506
55,55,1068
55,55,1822
56,50,2792
56,56,3086
59,50,2174
59,50,2663
59,59,2593
59,59,2903
61,50,1832
61,61,2703
62,50,2106
62,50,2696
62,50,3640
62,62,2389
62,62,2808
62,62,4875
64,50,1090
64,50,2764
64,50,3164
64,64,1374
64,64,2860
64,64,3596
65,50,2791
65,50,4061
65,65,4590
65,65,6770
66,50,2971
66,50,3587
66,66,5154
66,66,5456
68,50,5182
68,68,5869
70,50,3212
70,50,3827
70,50,4786
70,70,4771
70,70,5000
70,70,7984
71,50,1598
71,71,3834
72,50,6184
72,72,9446
74,50,4071
74,74,4594
75,50,5369
75,75,9555
76,50,6549
76,76,9567
79,50,3991
79,50,6187
79,50,8077
79,79,6232
79,79,11230
79,79,13270
80,50,4739
80,50,10075
80,80,7878
80,80,16761
81,50,4363
81,81,7743
82,50,10262
82,82,15917
84,50,4811
84,50,5993
84,84,5463
84,84,8738
85,50,9586
85,85,16376
86,50,2969
86,50,4901
86,86,9421
86,86,9601
89,50,8047
89,50,10658
89,89,15162
89,89,18747
90,50,9123
90,90,20452
91,50,6073
91,91,12426
93,50,6042
93,50,10824
93,50,11374
93,50,13949
93,93,15298
93,93,19059
93,93,21296
93,93,23223
95,50,10109
95,95,18539
100,50,9493
100,50,15659
100,100,21048
100,100,32695
101,50,15448
101,100,34112
101,101,34019
102,50,10668
102,50,13617
102,50,14457
102,100,31184
102,100,33028
102,100,33159
102,102,31317
102,102,33167
102,102,33179
103,50,10835
103,100,28539
103,103,30099
104,50,16300
104,100,33498
104,104,33291
105,50,12450
105,50,16957
105,100,29590
105,100,39254
105,105,30099
105,105,39888
107,50,14180
107,100,34643
107,107,34810
108,50,16373
108,100,36594
108,108,36978
109,50,25489
109,100,55095
109,109,54824
110,50,12921
110,50,15908
110,100,28502
110,100,34683
110,110,28540
110,110,34893
112,50,17220
112,100,51028
112,112,51823
114,50,12967
114,50,14537
114,100,29240
114,100,39856
114,114,30702
114,114,55257
115,50,15297
115,50,15765
115,100,33196
115,100,54178
115,115,33527
115,115,56553
116,50,17109
116,100,46714
116,116,51443
117,50,17939
117,50,17998
117,100,43002
117,100,46402
117,117,54481
117,117,57627
118,50,14569
118,100,43182
118,118,45524
121,50,19963
121,100,63979
121,121,66801
122,50,18841
122,100,35716
122,122,52843
127,50,26191
127,100,73878
127,127,72489
129,50,19882
129,50,20794
129,100,51923
129,100,55019
129,129,53566
129,129,73845
131,50,21588
131,100,62379
131,131,70122
133,50,14321
133,100,40385
133,133,45968
134,50,26155
134,100,77562
134,134,86586
140,50,23169
140,100,60419
140,140,69463
141,50,22071
141,100,70678
141,141,84276
144,50,14931
144,50,28279
144,100,53559
144,100,88986
144,144,66164
144,144,127726
145,50,29212
145,100,85167
145,145,103846
147,50,32989
147,100,102827
147,147,130320
149,50,26394
149,100,74480
149,149,75402
150,50,38085
150,100,111223
150,150,136049
151,50,13286
151,100,54036
151,151,52473
152,50,20008
152,50,24942
152,100,63871
152,100,67022
152,152,79197
152,152,89058
157,50,43098
157,100,115145
157,157,163821
158,50,26242
158,100,79192
158,158,97340
159,50,49324
159,100,138665
159,159,195953
160,50,34271
160,100,111146
160,160,150829
161,50,43308
161,100,123373
161,161,158074
168,50,37744
168,50,45764
168,100,120334
168,100,128780
168,168,149004
168,168,157599
169,50,27174
169,100,82234
169,169,143029
170,50,46454
170,100,124605
170,170,186825
171,50,30259
171,100,94281
171,171,116659
179,50,60034
179,100,190422
179,179,296517
182,50,56503
182,100,169386
182,182,238326
183,50,47860
183,100,180971
183,183,271202
202,50,52999
202,100,190707
202,200,310262
202,202,309890
211,50,53527
211,100,172347
211,200,292099
211,211,289510
213,50,55066
213,100,201708
